uid,bucket,n_sents,rank_Y_c,n_sents_minus_1,max_x_stable,sigma_max,sigma_at_eff_rank,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16,energy_top32
AGDU4N5YF4PWUEJSUPMJUGYYJLSQ,8,273,272,272,272,24.209649813982544,1.0275448073232904e-14,0.0676933807942175,0.10330378259721211,0.15996360259727194,0.24442040081647504,0.3607906202558885,0.5118490235088275
AHC2NI7LIVUJYCFAIXBPANTPTPQQ,4,137,136,136,136,19.211353593627845,1.059445520467801e-14,0.07832442119637628,0.12669976678626718,0.18871674208923234,0.2883991985958152,0.43318094300675136,0.6270099371923055
AF4GIVSP5XNFHPDX2IOFMUQ3EAIQ,6,186,185,185,185,16.90091235632916,9.978418818304925e-15,0.052264788617648196,0.08610038745063786,0.1448363334173457,0.2333277638613837,0.36203094415486253,0.531362953916859
AFCB2RZXCJKPRGE44SMQQUEGXHNQ,2,117,116,116,116,13.834104295045732,3.292507532140172e-14,0.06157634616630012,0.11511586077689573,0.1935106228924044,0.31322966356119125,0.4738752178307387,0.6761252068741378
AGADKXWLAJJ4FGWIDIWAPJL5A6HA,8,315,313,314,313,28.43603485284514,1.4529454607471976e-14,0.05674478050054122,0.09428727079523001,0.13924588310281197,0.21015698278744765,0.31595513049818963,0.4561632902780458
AHT6AM6BNIZUHFJB5V2M6XM72G7Q,3,120,119,119,119,18.487875474318866,2.262727275157636e-14,0.08590604486813498,0.12669649427538845,0.20144605642604538,0.3104300571778346,0.4714864944131343,0.6683465259291443
AEHW3XPN4OAJTCRSJFMQM3GB2MSA,5,145,139,144,139,19.707753087518654,1.2104854930604593e-14,0.0684907634123882,0.11429559044363059,0.1735879291597268,0.26876726076912894,0.411151832427528,0.6018049000137214
AFAI3A7XWPRB2BRZWPRJJO5FP45Q,6,165,164,164,164,18.17404237931191,1.1442140746989725e-14,0.0477049560901995,0.08488816335861112,0.1432071227652391,0.23348418080285774,0.3683674673384003,0.5501688994199495
AF4CNAUOROUP6WQEHMP7DWVB3KFQ,2,119,118,118,118,17.610872062911785,3.937628819290286e-14,0.07361728454197061,0.12028975036208568,0.18626624227421928,0.2883289630658426,0.43769400303557,0.6326664775021651
AGZMKHWSCB3UXDGFUPFRZSL4EAWQ,7,236,231,235,231,25.190864859284797,8.271832316500923e-15,0.07115659864000445,0.11389358733740293,0.166534825241455,0.24982959602691082,0.3738811702663197,0.534735286873781
AEUNI3OFLTJG7LZNVHXLKXSOLO7A,2,112,111,111,111,15.570647761883798,2.706762334809562e-14,0.05802364643106117,0.10843765016394127,0.17170601781402495,0.27313182061970115,0.4333636280901582,0.6425457658124795
AFKZESU3PTCQ2UVDBDSFVFTXBFNQ_1,9,1177,527,1176,527,53.46711461283216,1.5573455032926413e-14,0.07686489002407647,0.1121017059920313,0.17157536453232486,0.2527143421273979,0.36249140257820023,0.5067176151042245
AHMAGO6RME5BNQIVWP56IIWELOJA,5,148,147,147,147,17.880496705767854,1.4170350068249034e-14,0.0524963776861009,0.09808533627234968,0.16108404081237299,0.24822566532569354,0.38203781608908505,0.5656054403270806
AHWQ7NF7NNOI53VYRHMNOLHHT4YA,5,149,148,148,148,20.41256090269229,1.579659247012705e-14,0.0606572024045429,0.09653738811765825,0.15383441409816728,0.2422645401559053,0.3728292925680719,0.555639544588276
AERGQ6U7YCR6JZ54FFKYPUM7PFDQ,5,146,145,145,145,18.67080416738419,1.2466268816834605e-14,0.0721794230879879,0.11065317341640357,0.17354388197632434,0.26796803293187593,0.4092548832019849,0.5924780266270789
AHS5FPE6RHE4ITJ4SAVI67YVRNOQ,8,243,240,242,240,22.762967041092036,8.516836991268458e-15,0.06632617933189965,0.10258240760994845,0.16698158984227499,0.2545331515333197,0.3758060813520552,0.5364433718247292
AFM3KHXL5LZH6SKJSF2BMJYF3SQQ,3,126,125,125,125,18.632044985250186,3.7685989004680764e-14,0.05398180005834986,0.08933924768085312,0.1467779594999052,0.23764043129283088,0.3759457312890128,0.5677338910395511
AGVM37ENJ7TA4BJ4LRWQKQPMH64Q,1,109,108,108,108,15.845878322845024,3.032793439530231e-14,0.05793953223443107,0.10295912922055729,0.17467163733871716,0.2832008979372403,0.4365226170973719,0.6407647413228541
AE2QK2SWUQAGG54GHQDJUREN3DRA,7,207,206,206,206,22.888607060396087,1.0572937986134505e-14,0.06228519923887241,0.10274826032254673,0.15624923140982908,0.23325895709824226,0.35277972747409425,0.514713931158362
AHY33GMV66E2L2OGPPLIZ3IDCUYA,6,179,178,178,178,22.400648191592207,1.0942299847562752e-14,0.06461376297791072,0.10206493590552494,0.1585653456357896,0.2375463339212227,0.3595699930865915,0.532424781231544
AH254KLJJLFZUUSWU6STN7PMKS7A,5,159,149,158,149,19.74180754863802,4.453486800928173e-14,0.05140190804724934,0.09644493778108462,0.16278817441752047,0.26216673752541453,0.3955417082512497,0.5730815546258601
AFVIKCEGFX2QTEQGLLM7KAGE5WRA,1,111,104,110,104,16.64816756309203,3.3977379981044173e-14,0.06901617141845381,0.11451035579279217,0.18635322606431878,0.2913620781587655,0.4522495231205651,0.6639593818222498
AFTP4CS3L7FXZ45SXX553REC3MFA,1,109,108,108,108,16.85906271529525,2.645670716559571e-14,0.05506453913521929,0.10613418757126507,0.17156217390938477,0.2710669309235599,0.42107074309208836,0.634533815620243
AF5GRAZOLOUIUPODTWQVJDYF4AZA,2,113,112,112,112,19.22835470604517,2.674157230789537e-14,0.07818654154022471,0.12035937780885748,0.1858452860031929,0.2897080802130945,0.4379594977757837,0.6392883631991475
AGH5UEOJXJR5CMN33VMPDCEFBQAQ,5,153,152,152,152,18.592892338096267,1.1036719276813966e-14,0.061546896976491954,0.0960275879059471,0.1577463959862115,0.2514992961472256,0.385904720233694,0.5670908904005141
