uid,seed,K_A,n_unique_rules_A,C_B,C_B_LB,lambda_min_A,tr_A,beta_A,v_A,lambda_min_boot_q05,B_B,c_B
AH43LZPH7256CHBSEDLZL4D3XWSA,20260303,17,20,0.8627450980392157,0.6803808599623558,-3.3288736245812856e-17,0.8786730945821852,-1.2123275043177915e-15,0.02745853420569329,-5.188859957250553e-17,51,0.4306219954198425
AFKFAIJ6F253YS4ZYM5EEA6FG66Q,20260101,15,18,0.7808219178082192,0.619639599920148,-4.5874827673768e-17,0.7537755102040813,-1.947522127858894e-15,0.02355548469387754,-7.126222429844087e-17,73,0.3599315088938813
AFKFAIJ6F253YS4ZYM5EEA6FG66Q,20260202,15,18,0.7808219178082192,0.619639599920148,-3.134325986052284e-17,0.8394897959183673,-1.1947546240743848e-15,0.026234056122448977,-8.810294581377098e-17,73,0.3599315088938813
AFKFAIJ6F253YS4ZYM5EEA6FG66Q,20260303,15,18,0.7808219178082192,0.619639599920148,-6.631145194847919e-17,0.8082142857142853,-2.625499820850083e-15,0.025256696428571417,-6.752250643817201e-17,73,0.3599315088938813
AHSMLO2XZ7UYPFGD5PLPRZVKSUIA,20260101,16,19,0.7454545454545455,0.5524023011875804,-3.1127992195591196e-17,0.7727777777777776,-1.2889808414565444e-15,0.02414930555555555,-5.658990606631046e-17,55,0.41466745602860017
AHSMLO2XZ7UYPFGD5PLPRZVKSUIA,20260202,16,19,0.7454545454545455,0.5524023011875804,-4.856496961539158e-17,0.8489930555555553,-1.8304967484988303e-15,0.026531032986111102,-7.885968575682022e-17,55,0.41466745602860017
AHSMLO2XZ7UYPFGD5PLPRZVKSUIA,20260303,16,19,0.7454545454545455,0.5524023011875804,-1.6207738086412597e-17,0.7759027777777775,-6.684440803919205e-16,0.024246961805555547,-5.275219195910418e-17,55,0.41466745602860017
AEMF7JLOJ45VE3WDYLRTZO6ZPDUQ,20260101,25,29,0.8533333333333334,0.7069561573892815,-1.0854057359784307e-17,0.8677430874400567,-4.0026805230769553e-16,0.02711697148250177,-3.495202383831157e-17,75,0.35509999436605094
AEMF7JLOJ45VE3WDYLRTZO6ZPDUQ,20260202,25,29,0.8533333333333334,0.7069561573892815,-8.074455151061693e-18,0.9270227527803281,-2.7872300227694817e-16,0.028969461024385253,-3.507738407961388e-17,75,0.35509999436605094
AEMF7JLOJ45VE3WDYLRTZO6ZPDUQ,20260303,25,29,0.8533333333333334,0.7069561573892815,-9.719957436353076e-18,0.8836853382307929,-3.5197895054592857e-16,0.027615166819712277,-3.53917069123379e-17,75,0.35509999436605094
AGCTK2Z2ND3YCNM4ZCOI6CSEYSIQ,20260101,21,26,0.8072289156626506,0.6610048602223586,-1.2593690205502775e-17,0.8641216528162512,-4.663673051851916e-16,0.02700380165050785,-3.6329895929219374e-17,83,0.337553216686308
AGCTK2Z2ND3YCNM4ZCOI6CSEYSIQ,20260202,21,26,0.8072289156626506,0.6610048602223586,-9.65433515051778e-18,0.8920629424438289,-3.463194244682147e-16,0.027876966951369653,-4.321915532949519e-17,83,0.337553216686308
AGCTK2Z2ND3YCNM4ZCOI6CSEYSIQ,20260303,21,26,0.8072289156626506,0.6610048602223586,-1.3543829492981671e-17,0.8550226992920897,-5.068901026069205e-16,0.026719459352877804,-4.271522701467251e-17,83,0.337553216686308
AHSFFVE5G65JPMAA3PYUO2RWUA6Q,20260101,17,19,0.8939393939393939,0.7465887961078681,-3.776421631104513e-17,0.8856948845631503,-1.3644144761539276e-15,0.027677965142598446,-4.944988772055095e-17,66,0.37853786588357646
AHSFFVE5G65JPMAA3PYUO2RWUA6Q,20260202,17,19,0.8939393939393939,0.7465887961078681,-2.3071595092024086e-17,0.931190583974649,-7.928463363466207e-16,0.029099705749207783,-5.28924040688079e-17,66,0.37853786588357646
AHSFFVE5G65JPMAA3PYUO2RWUA6Q,20260303,17,19,0.8939393939393939,0.7465887961078681,-2.3827954436278766e-17,0.8905613399728382,-8.561954216249454e-16,0.027830041874151192,-5.037821561537759e-17,66,0.37853786588357646
AEGCZJGVCDX7GD3ZDWYV7UOGJHZQ,20260101,28,39,0.9434782608695652,0.88696286982587,2.0119808118848855e-05,0.8552144970414197,0.0007528331921763262,0.026725453032544366,-1.94867470835097e-17,230,0.20277638626251748
AEGCZJGVCDX7GD3ZDWYV7UOGJHZQ,20260202,28,39,0.9434782608695652,0.88696286982587,0.0001126348690942069,0.8930208561618819,0.0040360936546382856,0.02790690175505881,-2.282555298946252e-17,230,0.20277638626251748
AEGCZJGVCDX7GD3ZDWYV7UOGJHZQ,20260303,28,39,0.9434782608695652,0.88696286982587,8.674044493985952e-05,0.8637820512820509,0.003213419674506708,0.02699318910256409,-2.2025890983032732e-17,230,0.20277638626251748
AGYO7XP7YGN5MVWQT2B254GWJD2Q,20260101,14,16,0.7966101694915254,0.6169779710481944,-5.3533097781724454e-17,0.785595414201183,-2.1805869765126782e-15,0.024549856693786967,-6.785627187718198e-17,59,0.40036425046360374
AGYO7XP7YGN5MVWQT2B254GWJD2Q,20260202,14,16,0.7966101694915254,0.6169779710481944,-2.293496353709631e-17,0.8520710059171598,-8.613352972820614e-16,0.026627218934911243,-8.084567846042475e-17,59,0.40036425046360374
AGYO7XP7YGN5MVWQT2B254GWJD2Q,20260303,14,16,0.7966101694915254,0.6169779710481944,-2.814243031763199e-17,0.8311298076923076,-1.0835344393009894e-15,0.025972806490384612,-5.922051763620253e-17,59,0.40036425046360374
AEIMKGOOPJCFS55HP4VNWY4N3SVQ,20260101,19,23,0.8152173913043478,0.6786085174157142,-3.2421010680123315e-17,0.8594596379970929,-1.2071216563254775e-15,0.026858113687409153,-4.062668540765465e-17,92,0.3206176181438167
AEIMKGOOPJCFS55HP4VNWY4N3SVQ,20260202,19,23,0.8152173913043478,0.6786085174157142,-1.9077906466927752e-17,0.9077817413132512,-6.725107800235247e-16,0.0283681794160391,-5.697626355266127e-17,92,0.3206176181438167
AEIMKGOOPJCFS55HP4VNWY4N3SVQ,20260303,19,23,0.8152173913043478,0.6786085174157142,-1.734374583294955e-17,0.866263707226846,-6.406823488324316e-16,0.027070740850838937,-4.890450565960534e-17,92,0.3206176181438167
AEOVVAOWROFTZAWM7DP4J3ORLSQA,20260101,15,17,0.7818181818181819,0.5927528573416417,-2.859448562369958e-17,0.8420987654320985,-1.0865988379508772e-15,0.026315586419753078,-6.400381876041159e-17,55,0.41466745602860017
AEOVVAOWROFTZAWM7DP4J3ORLSQA,20260202,15,17,0.7818181818181819,0.5927528573416417,-3.2120237013484636e-17,0.8783950617283948,-1.1701427173429684e-15,0.027449845679012336,-7.528571818049943e-17,55,0.41466745602860017
AEOVVAOWROFTZAWM7DP4J3ORLSQA,20260303,15,17,0.7818181818181819,0.5927528573416417,-2.0711173871012905e-17,0.8356790123456788,-7.930767125670774e-16,0.02611496913580246,-6.171723250004169e-17,55,0.41466745602860017
AHNDLHG5E446HK5F4VRF6R44XYSA,20260101,24,28,0.819047619047619,0.693017460728353,-9.868798006924135e-18,0.8566266340737592,-3.6865715314004637e-16,0.026769582314804974,-4.548755848119913e-17,105,0.3001142710925403
AHNDLHG5E446HK5F4VRF6R44XYSA,20260202,24,28,0.819047619047619,0.693017460728353,-1.3380573963497813e-17,0.8901052184079068,-4.810424183309411e-16,0.027815788075247087,-5.394627403450273e-17,105,0.3001142710925403
AHNDLHG5E446HK5F4VRF6R44XYSA,20260303,24,28,0.819047619047619,0.693017460728353,-2.4018509308753825e-17,0.8569454777340841,-8.968975481525579e-16,0.02677954617919013,-3.868220116196869e-17,105,0.3001142710925403
AFJUNF4A25PMTEFDQIHCEN2ADIXA,20260101,16,18,0.6078431372549019,0.40306917634949413,-3.743080783188956e-17,0.8602071005917158,-1.3924389252268876e-15,0.02688147189349112,-6.11056712152513e-17,51,0.4306219954198425
AFJUNF4A25PMTEFDQIHCEN2ADIXA,20260202,16,18,0.6078431372549019,0.40306917634949413,-5.078376099692682e-17,0.8928439349112426,-1.8201169189363503e-15,0.02790137296597633,-6.869365967324124e-17,51,0.4306219954198425
AFJUNF4A25PMTEFDQIHCEN2ADIXA,20260303,16,18,0.6078431372549019,0.40306917634949413,-3.143338680628268e-17,0.8721801035502955,-1.153280582423927e-15,0.027255628235946735,-6.477674819565222e-17,51,0.4306219954198425
AEP4QCX5BLOJBRHIMJCQTVIBJ4RQ,20260101,23,29,0.803030303030303,0.6901751896582015,-1.050801060436189e-17,0.8300432666306109,-4.051070020777876e-16,0.02593885208220659,-3.7510612040882176e-17,132,0.2676666919021608
AEP4QCX5BLOJBRHIMJCQTVIBJ4RQ,20260202,23,29,0.803030303030303,0.6901751896582015,-8.876651679437269e-18,0.8819482002283516,-3.2207430512182733e-16,0.02756088125713599,-4.189645119818554e-17,132,0.2676666919021608
AEP4QCX5BLOJBRHIMJCQTVIBJ4RQ,20260303,23,29,0.803030303030303,0.6901751896582015,-1.3605623186770256e-17,0.8565440778799351,-5.082983505697379e-16,0.026767002433747973,-3.978327220897759e-17,132,0.2676666919021608
AG3JQ6U7SJNCLQ2ID3BXHDJS24YQ,20260101,16,19,0.703125,0.5224642433405309,-1.3880206697573993e-17,0.8326935553633218,-5.334094535276768e-16,0.026021673605103806,-5.4781694044585076e-17,64,0.384407020005889
AG3JQ6U7SJNCLQ2ID3BXHDJS24YQ,20260202,16,19,0.703125,0.5224642433405309,-1.440504958671175e-17,0.8990051903114185,-5.127463019597222e-16,0.028093912197231827,-5.113385038592964e-17,64,0.384407020005889
AG3JQ6U7SJNCLQ2ID3BXHDJS24YQ,20260303,16,19,0.703125,0.5224642433405309,-3.441835089857116e-17,0.8671334342560548,-1.2701473443925006e-15,0.027097919820501713,-5.4537642683774386e-17,64,0.384407020005889
AGPM5O2RFTK3SWT5WTNXPVF62WJQ,20260101,21,24,0.8412698412698413,0.6761283879605628,-2.0024972624152265e-17,0.851182277318641,-7.528341943296696e-16,0.026599446166207533,-5.572602624804479e-17,63,0.38744585796686215
AGPM5O2RFTK3SWT5WTNXPVF62WJQ,20260202,21,24,0.8412698412698413,0.6761283879605628,-2.509031733010265e-17,0.8775539485766758,-9.1491828606721e-16,0.02742356089302112,-5.91328489388495e-17,63,0.38744585796686215
AGPM5O2RFTK3SWT5WTNXPVF62WJQ,20260303,21,24,0.8412698412698413,0.6761283879605628,-1.818588450137386e-17,0.8550849403122129,-6.805736794188886e-16,0.026721404384756654,-5.436151739678138e-17,63,0.38744585796686215
AGR23GQ772XEO5XCZ3UDPGUIVYOA,20260101,16,19,0.6973684210526315,0.5323543776283761,-1.90333097719324e-17,0.7610192837465564,-8.003291450163503e-16,0.023781852617079886,-6.781483201703748e-17,76,0.3527560743985869
AGR23GQ772XEO5XCZ3UDPGUIVYOA,20260202,16,19,0.6973684210526315,0.5323543776283761,-2.087494302852739e-17,0.7772325528007347,-8.594572814864286e-16,0.02428851727502296,-7.362385536544858e-17,76,0.3527560743985869
AGR23GQ772XEO5XCZ3UDPGUIVYOA,20260303,16,19,0.6973684210526315,0.5323543776283761,-2.7780384933556314e-17,0.7821969696969697,-1.1365069826570641e-15,0.024443655303030304,-7.31464541311206e-17,76,0.3527560743985869
AE4E2RFS6VC4SQX6J55BNT7NM45A,20260101,27,32,0.8421052631578947,0.7257734680111962,5.915949227957645e-18,0.8932038834951456,2.1194531147117826e-16,0.0279126213592233,-3.2829480942092843e-17,114,0.2880241286479328
AE4E2RFS6VC4SQX6J55BNT7NM45A,20260202,27,32,0.8421052631578947,0.7257734680111962,-1.609657597075713e-17,0.9294938259967948,-5.541622942054963e-16,0.029046682062399836,-3.174356660217476e-17,114,0.2880241286479328
AE4E2RFS6VC4SQX6J55BNT7NM45A,20260303,27,32,0.8421052631578947,0.7257734680111962,-4.906348407152552e-18,0.8962908850975583,-1.751698601863974e-16,0.028009090159298696,-3.446743943208085e-17,114,0.2880241286479328
AHY2QS4G77WG5LI3VZ5QX4D3XMLQ,20260101,17,19,0.7884615384615384,0.5941671468161882,-1.9513442892548574e-17,0.8099574704142014,-7.709419264226666e-16,0.025311170950443794,-5.455936713537146e-17,52,0.4264612988552444
AHY2QS4G77WG5LI3VZ5QX4D3XMLQ,20260202,17,19,0.7884615384615384,0.5941671468161882,-2.5113005000638784e-17,0.8550295857988164,-9.398694189858449e-16,0.026719674556213012,-7.016332539633719e-17,52,0.4264612988552444
AHY2QS4G77WG5LI3VZ5QX4D3XMLQ,20260303,17,19,0.7884615384615384,0.5941671468161882,-4.121853442450762e-17,0.8535502958579884,-1.5453021432772074e-15,0.026673446745562136,-7.181351172769632e-17,52,0.4264612988552444
AEVJRHZZOSWCWC4IVTH2QPPG775A,20260101,16,20,0.7472527472527473,0.60121416824004,-2.2896162318462966e-17,0.7695601683843805,-9.520726569424742e-16,0.02404875526201189,-5.286255583163087e-17,91,0.322374440161306
AEVJRHZZOSWCWC4IVTH2QPPG775A,20260202,16,20,0.7472527472527473,0.60121416824004,-2.5764301801783053e-17,0.8281680940629986,-9.955197061652816e-16,0.025880252939468707,-6.993238969429347e-17,91,0.322374440161306
AEVJRHZZOSWCWC4IVTH2QPPG775A,20260303,16,20,0.7472527472527473,0.60121416824004,-1.8733192754987155e-17,0.7840034838147771,-7.646167147660449e-16,0.024500108869211785,-5.5104977451348577e-17,91,0.322374440161306
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_2_1,20260101,21,34,0.8505747126436781,0.7792984599982365,1.2949900873627762e-05,0.7856874505226151,0.0005274321585261981,0.024552732828831723,-2.5621422585236467e-17,261,0.19035357754033683
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_2_1,20260202,21,34,0.8505747126436781,0.7792984599982365,1.915049128761331e-06,0.8471802922352373,7.233592740770047e-05,0.026474384132351165,-2.848482618680973e-17,261,0.19035357754033683
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_2_1,20260303,21,34,0.8505747126436781,0.7792984599982365,1.398172310142076e-05,0.8186444202927721,0.0005465317153025426,0.025582638134149127,-3.448194589871642e-17,261,0.19035357754033683
AFJUT5BEWATK37VVRUDVOQOWLKPQ,20260101,18,20,0.7076923076923077,0.5287968276081308,-4.56162967096225e-17,0.8507304882737405,-1.7158448119920016e-15,0.026585327758554392,-5.690392287970818e-17,65,0.38143858160527194
AFJUT5BEWATK37VVRUDVOQOWLKPQ,20260202,18,20,0.7076923076923077,0.5287968276081308,-3.570025811613505e-17,0.8874471357170317,-1.2872972526901994e-15,0.02773272299115724,-5.767982136846869e-17,65,0.38143858160527194
AFJUT5BEWATK37VVRUDVOQOWLKPQ,20260303,18,20,0.7076923076923077,0.5287968276081308,-1.779744592089189e-17,0.8538062283737023,-6.670345689013504e-16,0.0266814446366782,-4.440082890233218e-17,65,0.38143858160527194
AGLX23K3YYZ4NMO3V4CRUO7DSTQQ,20260101,29,38,0.8901734104046243,0.8077516539282225,4.212463176572957e-05,0.8625499832117456,0.0015627943223464552,0.02695468697536705,-1.9933902943942288e-17,173,0.23380739627817554
AGLX23K3YYZ4NMO3V4CRUO7DSTQQ,20260202,29,38,0.8901734104046243,0.8077516539282225,0.00011537031973619099,0.9036430511889135,0.004085518310245161,0.028238845349653548,-2.4617881889892297e-17,173,0.23380739627817554
AGLX23K3YYZ4NMO3V4CRUO7DSTQQ,20260303,29,38,0.8901734104046243,0.8077516539282225,7.583422142969587e-05,0.8754540459692927,0.0027719274323113772,0.027357938936540396,-1.8938381551955014e-17,173,0.23380739627817554
AH7SYWBR37OYUGQZXCIBUEHGISSA,20260101,19,21,0.9333333333333333,0.7913995178762839,-1.7783118927693996e-17,0.849590601637593,-6.698047325256898e-16,0.026549706301174782,-4.9050206040200387e-17,60,0.3970138631061412
AH7SYWBR37OYUGQZXCIBUEHGISSA,20260202,19,21,0.9333333333333333,0.7913995178762839,-1.8616344971429852e-17,0.8882164471342116,-6.706957983133813e-16,0.02775676397294411,-5.173559173889086e-17,60,0.3970138631061412
AH7SYWBR37OYUGQZXCIBUEHGISSA,20260303,19,21,0.9333333333333333,0.7913995178762839,-1.716392403216751e-17,0.8647205411178356,-6.351711829573788e-16,0.027022516909932362,-5.825820540787516e-17,60,0.3970138631061412
AEIXEEET2JH7UHPPX4WEFRYYX7IA,20260101,26,36,0.8952879581151832,0.8186702509231029,2.2455634911129525e-05,0.8693367346938773,0.0008265845540384085,0.027166772959183665,-2.224134333083338e-17,191,0.22251772621791774
AEIXEEET2JH7UHPPX4WEFRYYX7IA,20260202,26,36,0.8952879581151832,0.8186702509231029,5.5617884795135846e-05,0.9172108843537415,0.0019404177859253802,0.028662840136054423,-2.5674386363763202e-17,191,0.22251772621791774
