uid,n_u,n_sents_user,rank_Y_c,n_u_minus_1,rank_deficient,sigma_max,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16
AGYRMITUSD6IEQMJDPHYMA7CJI2Q,50,111,48,49,True,12.269971322928027,0.07290027807042303,0.13624976243742032,0.24080147566660282,0.39489175236742463,0.6084130948490774
AFRANYYHRL3ZMJ4F5GAGDECQ5GNQ,50,164,32,49,True,15.984530168269927,0.11974411588010431,0.21927681943452018,0.36629384458043823,0.5701262485067304,0.8072738544182082
AHFXTIAWOGPOJFLIXLHBTSKEM4SQ,50,106,49,49,False,13.954421173774659,0.06901061434857622,0.12099104640817743,0.20910765449971103,0.3572108829946793,0.5827639821893557
AHWONVIIJ6KH2AO2G4RCTXKP3TFQ,50,243,49,49,False,12.367346092075712,0.0759003004035314,0.13125108410798578,0.22903753872212124,0.3861995956926099,0.6036036683885437
AHLJJBY3MKF2NDJ56A2CDW2V52PQ,50,112,49,49,False,13.101901339652768,0.069092855935244,0.12464109106142718,0.21203505450091592,0.3640101471108829,0.5823229113317848
AHVMR24ZUNPBWQQDPHLIDKK7JEFQ,50,169,49,49,False,12.47607527086661,0.07535386671523774,0.1354885235870211,0.22260897683035505,0.3694113962126312,0.5904387670473874
AE42SH6RMDLHFMXLKVI4JKAMC6TQ,50,102,49,49,False,11.402009573807325,0.059037738102700146,0.11552597118705733,0.2045308836375638,0.34825154636617256,0.5654141926027144
AG3KFKJCPSYRVYN5PN5NEQJS4V3A,50,163,49,49,False,12.650040897887846,0.0696281250677622,0.12681509007493086,0.21887762470472408,0.3674241925127137,0.6012798344567427
AGKYFKZ54CFEXGQTDIDWBHSDLITQ,50,128,49,49,False,12.182031530498104,0.08139281526153413,0.1495409212107724,0.24610724210037319,0.4013311438476135,0.6264230323472096
AG3BQZPT2PGT2CV2T74JPBFZQB4A,50,118,49,49,False,12.66420595757352,0.08839304710918124,0.14398236005817242,0.24077028760031563,0.39816411379565675,0.6171518370816561
AFTS2ADH7XVJ5VNQCXLYVNMTJNGQ,50,349,49,49,False,12.992301000062982,0.07991208021333775,0.13794467215635126,0.22544566452403428,0.3726821843797848,0.5991655654834811
AGPV5HNR6FT7NS2WMURJXRN2PFTQ,50,252,49,49,False,12.675427492654372,0.07693427480010068,0.1319320663530987,0.22778795933809168,0.3812647623413021,0.6128607116169698
AFNGDYKFPMNYHOLW3NA5MZVNH2YQ,50,100,48,49,True,11.41623523633336,0.09486717835764469,0.15788141586959126,0.2645629837922524,0.43265743731946016,0.6546778337801052
AFQRJNI4BPKEGI5M64VF4JYGVU4A,50,114,49,49,False,9.831363220671648,0.06355833526886596,0.11949928855618239,0.2143902091479083,0.3699558576787344,0.5925803497507731
