uid_local,n_sents,V_D3,V_P3,rank_Y
2280,172,58,23,32
2281,163,35,10,32
2282,196,63,20,32
2283,111,25,6,32
2284,133,38,13,32
2285,222,74,32,32
2286,139,36,11,32
2287,106,14,2,32
2288,565,502,335,32
2289,133,40,14,32
2290,115,31,10,32
2291,105,27,9,32
2292,149,36,9,32
2293,156,48,12,32
2294,165,58,20,32
2295,654,614,395,32
2296,701,607,417,32
2297,171,40,16,32
2298,218,71,26,32
2299,100,29,6,32
2300,185,67,28,32
2301,368,161,103,32
2302,192,54,22,32
2303,113,28,8,32
2304,120,43,20,32
2305,216,58,25,32
2306,178,89,39,32
2307,129,41,14,32
2308,252,80,38,32
2309,189,49,19,32
2310,350,188,101,32
2311,134,45,19,32
2312,334,136,53,32
2313,108,40,10,32
2314,107,47,23,32
2315,112,30,7,32
2316,1518,1493,1398,32
2317,114,26,7,32
2318,148,66,27,32
2319,118,31,12,32
2320,308,133,62,32
2321,118,34,17,32
2322,143,37,8,32
2323,268,135,68,32
2324,226,77,31,32
2325,256,78,39,32
2326,120,43,13,32
2327,286,110,55,32
2328,104,20,0,26
2329,134,37,14,32
2330,168,71,21,32
2331,132,20,10,32
2332,114,54,31,32
2333,381,154,80,32
2334,129,44,15,32
2335,318,106,50,32
2336,145,41,22,32
2337,181,54,21,32
2338,260,58,31,32
2339,121,30,11,32
2340,176,55,22,32
2341,142,27,6,32
2342,122,28,11,32
2343,676,578,366,32
2344,399,231,136,32
2345,115,27,6,32
2346,134,64,24,32
2347,310,129,56,32
2348,164,30,9,32
2349,265,124,46,32
2350,347,157,84,32
2351,151,31,17,32
2352,183,75,36,32
2353,139,44,14,32
2354,107,34,14,32
2355,127,40,8,32
2356,119,37,8,32
2357,262,94,33,32
2358,203,67,21,32
2359,121,35,13,32
2360,380,165,94,32
2361,123,38,13,32
2362,170,44,11,32
2363,155,70,14,32
2364,143,38,13,32
2365,806,775,666,32
2366,196,59,14,32
2367,134,62,22,32
2368,113,43,11,32
2369,149,34,11,32
2370,312,174,103,32
2371,170,54,11,32
2372,159,54,27,32
2373,285,140,80,32
2374,102,24,10,32
2375,111,28,9,32
2376,141,41,12,32
2377,107,27,5,32
2378,220,67,23,32
2379,227,74,24,32
2380,108,35,13,32
2381,128,44,17,32
2382,104,30,18,32
2383,235,84,36,32
2384,107,45,17,32
2385,101,34,11,32
2386,103,23,5,32
2387,120,42,11,32
2388,209,61,24,32
2389,521,460,284,32
2390,185,53,21,32
2391,195,74,23,32
2392,135,33,7,32
2393,100,33,13,32
2394,153,51,22,32
2395,164,68,31,32
2396,151,55,31,32
2397,140,37,14,32
2398,169,66,19,32
2399,364,166,92,32
2400,137,54,23,32
2401,112,26,7,32
2402,236,96,46,32
2403,126,45,14,32
2404,101,51,19,32
2405,112,50,11,32
2406,213,106,41,32
2407,139,66,19,32
2408,1105,1023,727,32
2409,153,44,17,32
2410,116,34,8,32
2411,142,51,13,32
2412,149,44,21,32
2413,123,34,7,32
2414,291,99,42,32
2415,108,33,15,32
2416,334,178,93,32
2417,196,96,33,32
2418,450,399,262,32
2419,347,160,89,32
2420,121,49,23,32
2421,143,18,4,32
2422,142,40,12,32
2423,105,44,13,32
2424,132,53,15,32
2425,170,46,21,32
2426,101,36,14,32
2427,130,44,12,32
2428,115,31,8,32
2429,438,387,228,32
2430,1247,1160,904,32
2431,131,48,16,32
2432,682,559,310,32
2433,163,49,10,32
2434,100,27,7,32
2435,116,34,12,32
2436,141,46,18,32
2437,173,38,14,32
2438,105,29,8,32
2439,155,47,22,32
2440,358,141,84,32
2441,121,42,18,32
2442,114,38,11,32
2443,173,56,15,32
2444,120,29,13,32
2445,205,119,53,32
2446,120,30,7,32
2447,179,91,26,32
2448,158,71,34,32
2449,141,38,10,32
2450,349,137,67,32
2451,176,77,28,32
2452,140,38,6,32
2453,101,41,12,32
2454,146,32,8,32
2455,101,31,12,32
2456,137,31,15,32
2457,184,66,28,32
2458,119,32,14,32
2459,354,154,73,32
2460,102,19,5,32
2461,167,47,20,32
2462,277,114,46,32
2463,126,41,12,32
2464,223,88,24,32
2465,104,38,9,32
2466,244,94,46,32
2467,248,100,52,32
2468,249,91,41,32
2469,446,390,245,32
2470,134,43,13,32
2471,177,77,35,32
2472,430,257,155,32
2473,109,24,10,32
2474,116,20,7,32
2475,217,94,23,32
2476,187,52,18,32
2477,510,438,295,32
2478,105,21,6,32
2479,288,125,70,32
2480,266,118,70,32
2481,156,52,17,32
2482,112,40,16,32
2483,191,53,10,32
2484,430,192,89,32
2485,197,51,12,32
2486,116,18,4,32
2487,120,47,15,32
2488,135,48,21,32
2489,316,122,42,32
2490,382,259,177,32
2491,270,81,43,32
2492,126,34,16,32
2493,103,40,18,32
2494,139,38,10,32
2495,573,530,377,32
2496,105,37,9,32
2497,109,45,13,32
2498,104,21,15,32
2499,115,34,8,32
2500,157,46,15,32
2501,137,51,17,32
2502,107,27,10,32
2503,111,28,11,32
2504,128,38,14,32
2505,117,41,17,32
2506,101,25,7,32
2507,118,44,16,32
2508,569,499,282,32
2509,255,83,26,32
2510,220,63,24,32
2511,147,46,17,32
2512,110,42,6,32
2513,219,84,22,32
2514,184,91,36,32
2515,576,509,314,32
2516,284,121,59,32
2517,115,41,10,32
2518,114,16,4,32
2519,107,22,7,32
2520,104,32,12,32
2521,105,26,11,32
2522,125,39,14,32
2523,120,35,14,32
2524,313,112,54,32
2525,127,33,11,32
2526,167,55,16,32
2527,114,38,8,32
2528,112,30,10,32
2529,222,71,24,32
2530,149,44,10,32
2531,153,41,16,32
2532,151,43,9,32
2533,169,68,16,32
2534,255,75,32,32
2535,100,16,6,32
2536,793,751,598,32
2537,120,44,13,32
2538,205,69,28,32
2539,167,55,13,32
2540,114,47,16,32
2541,148,44,18,32
2542,141,43,23,32
2543,106,26,7,32
2544,110,38,13,32
2545,122,28,12,32
2546,130,36,11,32
2547,238,54,13,32
2548,104,32,6,32
2549,151,42,14,32
2550,101,20,5,32
2551,566,426,232,32
2552,117,57,13,32
2553,109,45,20,32
2554,154,73,28,32
2555,1095,993,785,32
2556,190,87,34,32
2557,187,62,20,32
2558,273,95,52,32
2559,107,16,5,32
2560,103,26,7,32
2561,117,43,12,32
2562,103,38,15,32
2563,123,23,5,32
2564,137,38,9,32
2565,283,141,74,32
2566,107,25,7,32
2567,112,18,7,32
2568,134,55,22,32
2569,114,36,7,32
2570,710,547,249,32
2571,180,66,19,32
2572,113,33,5,32
2573,274,138,92,32
2574,163,53,18,32
2575,102,27,5,32
2576,139,64,21,32
2577,105,44,12,32
2578,174,56,32,32
2579,348,164,82,32
2580,171,56,19,32
