uid,V_u_A,n_A,n_B,chi_hat_B,chi_ub_B,C_B_LB
AEKMBFRGDNYNNMFMULOZYBNUZ2WA,21,78,80,0.08860759493670886,0.36227401019230754,0.4623231061733239
AFYZ6NBWOTIKWS3FYDLAG5CW7HSA,27,74,69,0.1278772378516624,0.4247101416065998,0.6164435079155017
AEJGUA3ZHEWFRRXF5RTYIFYG7COA,20,83,87,0.1507618283881315,0.41470915724037116,0.7300028291457613
AHGKWZSYITWDZWG2XG6OYGGD423Q,28,136,135,0.16716417910447762,0.3786172991886777,0.7220849529853761
AENOZSUXFOYQPREH4REHHU7JED2A,19,52,63,0.18330773169482847,0.494171890055606,0.638521373596947
AF52KDA2CDYLCVFEQGA3XGBA4BAQ,23,71,59,0.1694915254237288,0.4908964303041181,0.6169779710481944
AGYM4CBFO2EOLYB6DIKWZTY37BEA,24,97,93,0.09934548854604956,0.3545407366257857,0.5971425069821705
AGUNBFGHBEUYYDPNPD437363BHWQ,31,152,172,0.17435060519515844,0.36098955130265276,0.8138117251762786
AHKO56KDFQSMLU3ZSCOZ4SWB6A4Q,25,63,76,0.19894736842105262,0.47972318616604326,0.7104664215246896
AGPLJFWPVOR27HO3RLMML2ZWEJ5A,20,46,57,0.2211779448621554,0.5482718737896333,0.6885100653153211
AEWRGEQPEOZTEW36VJLDOK6B4KVA,18,54,46,0.10628019323671498,0.4671807741242443,0.5734627407468422
AETFLSAWXIVQSX4A7T52JGEH5Q2Q,23,60,44,0.17124735729386892,0.5402590763461352,0.6933185435601343
AH2DPDI4VZWHDBU2NKJUEC276CCA,18,53,56,0.137012987012987,0.46410691594046494,0.5398826411842328
AHGTORR5THDBGVKMHWZQF2WUWBUA,19,49,52,0.13122171945701358,0.4706631312790964,0.47001439576473186
AGVH2YJ3C4MC5RJ5SK26PNEQ4XSQ,19,43,64,0.09176587301587301,0.3977342268509751,0.3667561416428226
AFJZOARCCNHDUXHCMBAHLUMBSX7A,18,48,62,0.1797990481226864,0.49066320648346395,0.6148219086622118
AFXJTDF5NUVLHKVJU7BMR2ZDVKBA,37,136,153,0.1128310973512212,0.3113695820719022,0.7224859845727325
AGMYNBZZ5SD2SPX4KEJSQE6YPIQA,23,52,61,0.12896174863387977,0.4449645056658394,0.5547042225472776
AHGDK2EN4U6IYBGJ2QFFJMXAQMFQ,19,57,43,0.1937984496124031,0.5714939854455465,0.6012551298368389
AE7YOX4URGCXIEEBZY6RA6IAF5MA,22,76,84,0.17355134825014343,0.44062242286164577,0.6785094620922513
AFAJBILA4IKTWI22BUPLOQY2H6EQ,33,72,92,0.1309125656951744,0.38610781377491055,0.5814415684845888
AHGHHV4OE2IHKOASESVYGYYBGKJA,21,77,76,0.18912280701754386,0.46989862476253447,0.6481111424713923
AEJ4BITCXXWZ6QUS6ORMHAKUS3XQ,22,58,55,0.24511784511784512,0.5782139981557726,0.7488383118450554
AGFNAS3OW4WGQFA6SC6CF2LPQ2NQ,21,56,66,0.1445221445221445,0.44581895145058253,0.6355387470095439
AGVSGK7E4WMRETX4KHF7RKGECDFQ,17,51,69,0.13768115942028986,0.4345140631752273,0.5841054594245085
AGSU4BF54NFDUP5SOHAAVNKQI67Q,42,182,207,0.16973875521786033,0.34028135797416026,0.8203327644352096
AFTJ7XQN2EIELHARUBBL6Y7L65DA,37,204,200,0.14809045226130654,0.32117229052153506,0.808292021256993
AEUEV2RK2DDJASJJ3HRCQMZVC5CA,16,60,54,0.10761705101327743,0.44071320405120484,0.586219469150203
AESYGQVMCPGJ65L3HVVPXJ4ZSLQQ,21,80,71,0.16780684104627766,0.4603685450900078,0.5789279150766437
AGVKHVURH5XGP6335AZCMGNTAAMQ,20,82,81,0.1367283950617284,0.4103948103173271,0.6253973064581162
AHCNUR6GBCWEDOXLS33U5TD7O4MQ,19,64,66,0.12494172494172494,0.426238531870163,0.47198295207606744
AFEAQ2NZOIFAIBEP3UIWFD5BF6YA,25,126,151,0.13660044150110376,0.3364581333238602,0.6522753513145387
AHM6CJDGT743FIJBQKAHW6KZVS3A,25,55,58,0.11796733212341198,0.4393722370038013,0.6310897729801068
AGETNBPPPE7JZYU5ZY5353UQDSJQ,19,54,69,0.13213981244671782,0.4289727162016552,0.6496882251686545
AF4JOAZRTKNCU6J2LPPYZ56KEXKA,30,114,136,0.14183006535947712,0.3517226244838872,0.6737363440267932
AGEESDAHFO2TR6IM66O5NG33UDNQ,15,50,51,0.15450980392156863,0.5006734804420256,0.6326842387742619
AERPQTYQJN42DMIPT36TPBU2HBCA,26,101,99,0.12966398680684396,0.37692375575002757,0.7730862492812693
AHY2NSYOB26HPV3YODAA2SQE7W6A,25,56,56,0.11688311688311688,0.4439770458105948,0.6404041038680541
AF7P3N4WIHMAVATNPD5MCDI5Y2KQ,58,323,345,0.12746882372767104,0.2594424881537909,0.8312915812756643
AEIFL3J3AO7DLHEUWOXRLYHM7FSA,17,50,54,0.1816911250873515,0.5147872781252789,0.6072556800279818
AHZ4TADPCXAAIKTFERGG5YB4BNQQ,31,135,160,0.12240566037735849,0.315917038387606,0.763034714929988
AG6GKCLBWFLRRC467G5VV56G7LRQ,20,65,52,0.11840120663650075,0.45784261845858365,0.6162724526839611
AE2S73K5525UUILYHPLCCWL3BZ4A,22,62,56,0.15064935064935064,0.47774327957682855,0.6835501727779255
AE42SH6RMDLHFMXLKVI4JKAMC6TQ,24,53,49,0.08503401360544217,0.43833583650584784,0.4849303024107301
AFREJADSLSLEMNNNUOEU33ID2XTQ,24,78,54,0.06918238993710692,0.4022785429750343,0.5453077325986742
AEAJULF3WV5PN2GEMOXE4442ER7Q,12,67,65,0.18221153846153845,0.4881798922966405,0.5287968276081308
AGAV7IY4HWGYRUIAGUZRXYUJ22DA,24,86,72,0.16118935837245696,0.44965908880617117,0.6627919399912201
AGPV5HNR6FT7NS2WMURJXRN2PFTQ,32,122,130,0.12152653548002386,0.3362081341882214,0.7950224589823416
AF7YPDDSITOLXXOX6JM7HYLUXK4Q,23,67,71,0.13158953722334005,0.4241512412670702,0.5186210527214432
AELBJRKQJDDKWRYPXNIZLPOQTE7Q,19,57,75,0.14162162162162162,0.42616641093093377,0.6439071524268346
AEY22LM45AHO3BB43OEE4IR2M6DQ,33,159,139,0.12355333124804505,0.33191937877415245,0.7549313460257517
AFTSNLQBX4R6BYTB337XHJIYS4SQ,28,126,104,0.14376400298730396,0.3837853271022343,0.6903067844257832
AHMTAZY6RIFGR3YXDZGTLCHHO6PQ,27,86,87,0.1090617481956696,0.37300907704790925,0.6228196271294778
AF2B2EWI4N5H3KRSBJFWCZI4CWLQ,20,53,51,0.11450980392156863,0.46067348044202566,0.5226479034046672
AEBFU6CCF4JOJKGQSSZWLZWMFEEQ,27,76,106,0.15309973045822103,0.39084591958522874,0.7066846220094388
AGKXEQ55UWTAAB43PDI2YKIXVRHA,25,79,66,0.10303030303030303,0.40432710995874105,0.6893748094698315
AEY2733HC2H6I25WYSD5Z4H2NQAA,22,61,58,0.10707803992740472,0.42848294480779403,0.6721062867460526
AHVYEGMH66T7GGYPUNFLF5YKWP4Q,13,55,51,0.25019607843137254,0.5963597549518296,0.6097335482929176
AHCZ6MJHUWGYWZ3SXMD3QBBOFAPA,30,169,172,0.13382292941656468,0.320461875524059,0.8209938426994646
AHKZOKNJHOKX6JOO3YBCV5WLUIEA,30,75,66,0.14638694638694638,0.4476837533153844,0.6531718816506668
AFNEXUTLDRCCFVDWA6SYF4HCYD5A,18,71,67,0.12890094979647218,0.43019775672491023,0.7500464373354052
AGZC734FUDTRUS54AWY5NO7XHCIQ,40,191,219,0.16790247580746512,0.33368480998750794,0.835357114235074
AGSFT5XKVSEWQ45E54ANFELLSLFQ,21,48,76,0.12526315789473685,0.40603897563972746,0.6330585508154369
AGDB54YNPIHHKZ2X2WKFZSK3ZB7Q,17,53,52,0.23529411764705882,0.5747355294691416,0.6620434254942276
AGMCZMRV6MJ5SCCUIEILXUKJ66WA,54,411,347,0.1358464793190185,0.2674381641757505,0.8389628038804344
AEQQFXTK3EE4OM2ZVE6MVDR4RZFQ,17,50,53,0.08925979680696662,0.4287012086290495,0.5177895842421592
AEMWMJSVSVJLDVC3566QJKS7FX3A,26,81,79,0.13924050632911392,0.41639325850712483,0.736209248840952
AERW7RVIVBVMHDXIXRAADQPB37MQ,31,126,114,0.15649743828598045,0.38574993348195163,0.7467192290856264
AG3QUFIVOQ2WTVK3GPE34FDES57A,29,85,87,0.10344827586206896,0.3673956047143086,0.7160155345991994
AH4D6CKIJ5KFQRJN2L7CI624WPVA,23,68,74,0.08663457978526472,0.3711793690945769,0.579176830051247
AEIMWJTY7PHIXTP5I7U72C6P6P4Q,18,59,60,0.22372881355932203,0.5397315705912816,0.6225974574464043
AG2Q2QBN42KMKP5OY3GPU6MLPANQ,20,61,39,0.16464237516869096,0.561719344610053,0.5380104144773306
AH5N4M4TLLC3JZ3LNHYSIH4LXN2Q,21,69,51,0.16862745098039217,0.5147911275008492,0.5437877861860005
AGN5R4K2X2CIV3WBSWHNDRUWTWQA,21,69,53,0.13497822931785197,0.47441964113993484,0.6448702362084395
AH2SLATPAAEXB3ZHYVCNYFUTTKWA,24,90,79,0.15611814345991562,0.43327089563792653,0.6601541857263991
AFV4TYPSM3XZC27VSC2NUVOVJ2JA,38,166,158,0.12448601144884303,0.31921829354546116,0.8059223695883899
AEORT2SOUGKL76PYWWGS4SUL3OSA_2,23,64,88,0.11938349007314525,0.38031417895230785,0.6140312867743754
