uid,x_16_KS_stat,x_16_NLL_test,x_16_kappa,x_16_lambda_min,x_16_n_profile,x_16_n_test,x_16_tr,x_20_KS_stat,x_20_NLL_test,x_20_kappa,x_20_lambda_min,x_20_n_profile,x_20_n_test,x_20_tr,x_24_KS_stat,x_24_NLL_test,x_24_kappa,x_24_lambda_min,x_24_n_profile,x_24_n_test,x_24_tr,x_28_KS_stat,x_28_NLL_test,x_28_kappa,x_28_lambda_min,x_28_n_profile,x_28_n_test,x_28_tr,x_32_KS_stat,x_32_NLL_test,x_32_kappa,x_32_lambda_min,x_32_n_profile,x_32_n_test,x_32_tr
AE3RVPQUALI4HMJUOSE6YE4VVMUA,0.16481296360224462,0.9181649111943267,1794.3211691931774,0.0064766220827287444,149,161,11.621140107904193,0.16473445381837248,-2.7878105056628266,2440.077450375355,0.004777054696068964,149,161,11.656383443087574,0.16485378010933882,-6.871779057718775,3250.03170418602,0.003593980643655809,149,161,11.680551036112258,0.16485564791327267,-12.137404966225459,5889.267642386663,0.001986154494531959,149,161,11.696995397427907,0.16484177819178425,-18.16322979152449,9625.070461880945,0.0012164118625542426,149,161,11.708049887752424
AE4BY225FXPK32UJ5I67YPNQLIPQ,0.08732038871545478,-0.8351711750832844,961.6920273272966,0.008006845462974857,209,214,7.700119445784657,0.08732885516377009,-4.53930982859885,1502.731567107631,0.005145881397087823,209,214,7.73287841599579,0.08740657480542158,-9.152305738255546,2038.8582844087234,0.003804827091489862,209,214,7.757503236226853,0.08740992930113922,-14.398400120853074,3484.677689339069,0.0022300307637613,209,214,7.770938449018765,0.08741389290731483,-20.594309112585805,5923.132215782413,0.0013134780472951427,209,214,7.779904136656836
AE4SBEJSCJAWM7CRKJDBQF3O7RGA,0.07141344377922221,-0.7948874690686727,953.550749000654,0.007747503439438626,224,225,7.387637707561845,0.07147975553995967,-4.626772490249507,1426.074987103859,0.005202380622573231,224,225,7.418984879245487,0.07153430529707805,-9.324437360707115,2104.429222059867,0.003535921069559556,224,225,7.441095625678309,0.07154717210330408,-14.76724975999684,3403.8269774240116,0.002190549991622393,224,225,7.456253156880244,0.07153252263647403,-20.909140871667113,6010.886520530503,0.0012419850979986605,224,225,7.465431484259904
AE4XAONOTHWDUYQGLCZSHVJ4TP3A,0.06322828625332666,-0.5840067621428304,989.2136287385637,0.008329283799271442,206,224,8.239441051870633,0.06321532577291972,-4.32967500006738,1404.0031795382235,0.005894381019574288,206,224,8.275729692892057,0.06307638427303003,-8.329149458690038,2110.7774066989828,0.003931823355944883,206,224,8.299203906859832,0.06309858945862712,-13.261491486806042,3410.613933635174,0.0024377484252078247,206,224,8.31421874571101,0.06309709407333713,-18.995816183422114,6386.38932180412,0.0013035448168807276,206,224,8.324944699020186
AE5HNX5HIVHJH734GBQBRKUMGYTQ,0.12859160234063483,-0.6456976024354663,1473.9659687088217,0.006359706806991113,126,112,9.373991404470743,0.12866420821161118,-4.176681866783497,2766.5363488370913,0.0033991091562500216,126,112,9.40375903443066,0.12872260142842973,-8.170448274118979,4145.410124274731,0.0022730047289200466,126,112,9.4225368157895,0.1287723778827543,-12.771959565729409,5972.087826600828,0.001579945602348784,126,112,9.435573898478685,0.12876288534944513,-17.32591073687959,11865.870184649206,0.0007959911856967068,126,112,9.445128077602122
AE5IMGWRBJA7JQFBQTBK25HDYGVA,0.06690879842681963,-0.04532832287109141,1290.739531962357,0.007369949986895017,211,214,9.512685796670853,0.06684826149460998,-3.7498304780744927,1845.3540947591073,0.005173496107013815,211,214,9.546932225298244,0.0668690766433293,-7.833885561745673,2968.718109281187,0.003223592025534094,211,214,9.569936023137487,0.06683016464646752,-13.09400388850492,3912.054450804493,0.0024500973869937856,211,214,9.584914387693498,0.06683128823385864,-18.927017015478974,6620.218399522911,0.0014493402657468554,211,214,9.594949094466758
AE5INRAIGFDNXPWT5LNVJEEAAHBQ,0.023385542544625576,-0.4402841783002543,846.5144704620528,0.008884592776570076,569,584,7.520936349529197,0.023410996681560076,-4.280846439419937,1232.0628136057712,0.00612936747254634,569,584,7.551765733849138,0.02340491617617793,-8.835266804059119,1748.3996283641713,0.004331490859421796,569,584,7.573177008875874,0.023398993500631265,-14.476345408149898,3055.213746911269,0.0024829044338215154,569,584,7.585803758478435,0.023382573964526615,-20.786122515348076,5186.65711016318,0.0014643450632109316,569,584,7.59505573383533
AE5MYIUHLA3BAMM2MFJXJQN6UPRQ,0.0810579797515204,0.006168556497859375,871.0719984257149,0.009989917286707083,517,537,8.701937215039534,0.08109752972823786,-3.7020183136674376,1438.8133161146138,0.006072881934583899,517,537,8.73774339467119,0.0810806435129589,-8.115713953937522,1856.0724433209978,0.004720669434510367,517,537,8.76190445142241,0.08108149311018298,-13.58870215308385,3092.5735460470396,0.0028380054121249767,517,537,8.77674046107603,0.08106083502814398,-19.678468439883357,5718.37453763101,0.0015367087148768289,517,537,8.78747598690733
AE5UVV7CEOPTGOGVKMICTYGYINCA,0.4071504919327096,3.5778213421032237,14031.79826374149,0.004601554555013133,127,107,64.56808521554503,0.4070780474732527,0.6202701475693336,22484.791433085797,0.0028738157462877174,127,107,64.61714767239714,0.407141304763568,-3.319563124086583,26757.35526868102,0.002416106437187829,127,107,64.64861830678188,0.4071438476007284,-7.43149838075226,52400.21453415262,0.0012339942328494205,127,107,64.66156253521672,0.40714889496028833,-10.571008694178298,99565.68142225807,0.0006495232004444006,127,107,64.67022005181266
AE5VT32F7URDDGWM4KOVJ4LLBASQ,0.09918163283877601,0.33990976905326015,921.7620941364437,0.008316358577463101,361,381,7.665704097951964,0.09915105255240864,-3.221983215282607,1302.4194010395465,0.005911061624464343,361,381,7.698681340442698,0.09917666113160506,-7.507487276717738,1874.7793108285584,0.004118844804096464,361,381,7.721925023233758,0.0991721553991195,-12.757712099688849,3458.9562777208716,0.0022364234492695443,361,381,7.735690929493056,0.09914402860748894,-18.67077310485512,5775.353255678648,0.0013410584163981458,361,381,7.745086091200283
